region_id,industry_id,size,expense,amount
6401,301,M,"Аренда помещения",70000
6401,301,M,"Депозит по аренде",93333
6401,301,M,"Ремонт и интерьер",333333
6401,301,M,"Оборудование и мебель",336667
6401,301,M,"Расходные материалы",58333
6401,301,M,"Косметика",90000
6401,301,M,"Зарплата стартового фонда",150000
6401,301,M,"Маркетинг и реклама",73333
6401,301,M,"Разрешения и лицензии",25000
6401,301,M,"Программное обеспечение",23333
6401,301,M,"Страховка бизнеса",11667
6401,301,M,"Юридические консультации",15000
6401,301,M,"Обучение сотрудников",26667
6401,301,M,"Паушальный взнос",210000
6401,301,M,"Резервный фонд",75000
