industry_id;region_id;industry;region;size;expense;amount;min;max
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Регистрация юридического лица / ИП и сопутствующие госпошлины;5667;4000;8000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Регистрация юридического лица / ИП и сопутствующие госпошлины;11667;5000;15000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Регистрация юридического лица / ИП и сопутствующие госпошлины;20000;5000;30000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Подготовка учредительных документов, нотариальные и юридические услуги;12333;5000;20000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Подготовка учредительных документов, нотариальные и юридические услуги;33333;25000;40000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Подготовка учредительных документов, нотариальные и юридические услуги;73333;60000;80000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Аренда офиса / помещения для управления недвижимостью и обеспечительный депозит;60000;50000;70000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Аренда офиса / помещения для управления недвижимостью и обеспечительный депозит;253333;150000;350000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Аренда офиса / помещения для управления недвижимостью и обеспечительный депозит;1000000;300000;1500000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Ремонт, косметическая подготовка и адаптация офиса / помещения под офис;28333;25000;30000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Ремонт, косметическая подготовка и адаптация офиса / помещения под офис;140000;100000;200000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Ремонт, косметическая подготовка и адаптация офиса / помещения под офис;483333;200000;800000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Мебель для офиса и рабочие места сотрудников;30000;20000;40000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Мебель для офиса и рабочие места сотрудников;210000;100000;350000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Мебель для офиса и рабочие места сотрудников;750000;200000;1400000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Компьютеры, ноутбуки, оргтехника и периферия;38333;30000;45000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Компьютеры, ноутбуки, оргтехника и периферия;206667;100000;300000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Компьютеры, ноутбуки, оргтехника и периферия;700000;200000;1200000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Телефония, интернет и коммуникационное оборудование;9667;7000;12000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Телефония, интернет и коммуникационное оборудование;38333;25000;60000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Телефония, интернет и коммуникационное оборудование;103333;50000;200000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Ключевое профильное ПО для управления недвижимостью, CRM / учет арендных договоров;22667;18000;30000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Ключевое профильное ПО для управления недвижимостью, CRM / учет арендных договоров;96667;50000;150000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Ключевое профильное ПО для управления недвижимостью, CRM / учет арендных договоров;316667;100000;600000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Настройка и внедрение учетной системы, интеграция сервисов;11667;10000;15000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Настройка и внедрение учетной системы, интеграция сервисов;56667;20000;80000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Настройка и внедрение учетной системы, интеграция сервисов;190000;50000;300000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Создание корпоративного сайта и базовых цифровых каналов присутствия;20000;20000;20000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Создание корпоративного сайта и базовых цифровых каналов присутствия;96667;50000;120000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Создание корпоративного сайта и базовых цифровых каналов присутствия;283333;100000;400000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Вывеска, навигация и фирменное оформление офиса;11000;8000;15000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Вывеска, навигация и фирменное оформление офиса;46667;30000;80000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Вывеска, навигация и фирменное оформление офиса;146667;50000;300000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Реклама и продвижение на запуске;31667;25000;40000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Реклама и продвижение на запуске;216667;150000;300000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Реклама и продвижение на запуске;766667;300000;1200000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Юридическая подготовка типовых договоров аренды, актов и шаблонов документов;9333;8000;10000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Юридическая подготовка типовых договоров аренды, актов и шаблонов документов;30000;20000;40000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Юридическая подготовка типовых договоров аренды, актов и шаблонов документов;80000;30000;150000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Расходы на первичный осмотр, фотофиксацию и оценку объектов недвижимости;10000;10000;10000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Расходы на первичный осмотр, фотофиксацию и оценку объектов недвижимости;43333;30000;50000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Расходы на первичный осмотр, фотофиксацию и оценку объектов недвижимости;120000;50000;160000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;S;Резерв;23367;22000;26100
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;M;Резерв;203000;54000;405000
100101;2301;Аренда и управление собственным или арендованным недвижимым имуществом;Краснодар;L;Резерв;519333;349000;609000
60303;50;Деятельность фитнес-центров;Московская область;S;Аренда помещения и обеспечительный депозит;1366667;1100000;1500000
60303;50;Деятельность фитнес-центров;Московская область;M;Аренда помещения и обеспечительный депозит;5400000;4200000;6000000
60303;50;Деятельность фитнес-центров;Московская область;L;Аренда помещения и обеспечительный депозит;20166667;15500000;25000000
60303;50;Деятельность фитнес-центров;Московская область;S;Ремонт, отделка и подготовка помещения под фитнес-центр;1400000;800000;2000000
60303;50;Деятельность фитнес-центров;Московская область;M;Ремонт, отделка и подготовка помещения под фитнес-центр;5900000;3000000;8500000
60303;50;Деятельность фитнес-центров;Московская область;L;Ремонт, отделка и подготовка помещения под фитнес-центр;20500000;10000000;30000000
60303;50;Деятельность фитнес-центров;Московская область;S;Проектирование, перепланировка и согласования по помещению;326667;180000;500000
60303;50;Деятельность фитнес-центров;Московская область;M;Проектирование, перепланировка и согласования по помещению;1216667;650000;2000000
60303;50;Деятельность фитнес-центров;Московская область;L;Проектирование, перепланировка и согласования по помещению;4466667;2400000;8000000
60303;50;Деятельность фитнес-центров;Московская область;S;Спортивное и тренажерное оборудование;1500000;1200000;1800000
60303;50;Деятельность фитнес-центров;Московская область;M;Спортивное и тренажерное оборудование;5900000;5000000;7200000
60303;50;Деятельность фитнес-центров;Московская область;L;Спортивное и тренажерное оборудование;20666667;15000000;29000000
60303;50;Деятельность фитнес-центров;Московская область;S;Оборудование для групповых и кардио-зон;706667;520000;1000000
60303;50;Деятельность фитнес-центров;Московская область;M;Оборудование для групповых и кардио-зон;2233333;2000000;2500000
60303;50;Деятельность фитнес-центров;Московская область;L;Оборудование для групповых и кардио-зон;7700000;5000000;9100000
60303;50;Деятельность фитнес-центров;Московская область;S;Оборудование для раздевалок, душевых и санитарных зон;353333;260000;500000
60303;50;Деятельность фитнес-центров;Московская область;M;Оборудование для раздевалок, душевых и санитарных зон;1100000;1000000;1200000
60303;50;Деятельность фитнес-центров;Московская область;L;Оборудование для раздевалок, душевых и санитарных зон;3600000;2000000;4500000
60303;50;Деятельность фитнес-центров;Московская область;S;Мебель и инвентарь для клиентских и административных зон;206667;200000;220000
60303;50;Деятельность фитнес-центров;Московская область;M;Мебель и инвентарь для клиентских и административных зон;716667;500000;850000
60303;50;Деятельность фитнес-центров;Московская область;L;Мебель и инвентарь для клиентских и административных зон;2566667;1000000;3500000
60303;50;Деятельность фитнес-центров;Московская область;S;Системы вентиляции, кондиционирования и климат-контроль;450000;300000;650000
60303;50;Деятельность фитнес-центров;Московская область;M;Системы вентиляции, кондиционирования и климат-контроль;1766667;1000000;2500000
60303;50;Деятельность фитнес-центров;Московская область;L;Системы вентиляции, кондиционирования и климат-контроль;6600000;3000000;9800000
60303;50;Деятельность фитнес-центров;Московская область;S;Системы безопасности и видеонаблюдения;153333;100000;200000
60303;50;Деятельность фитнес-центров;Московская область;M;Системы безопасности и видеонаблюдения;506667;500000;520000
60303;50;Деятельность фитнес-центров;Московская область;L;Системы безопасности и видеонаблюдения;1433333;1000000;1800000
60303;50;Деятельность фитнес-центров;Московская область;S;Регистрация бизнеса и сопутствующие организационные расходы;50000;50000;50000
60303;50;Деятельность фитнес-центров;Московская область;M;Регистрация бизнеса и сопутствующие организационные расходы;110000;80000;150000
60303;50;Деятельность фитнес-центров;Московская область;L;Регистрация бизнеса и сопутствующие организационные расходы;283333;150000;500000
60303;50;Деятельность фитнес-центров;Московская область;S;Разрешительная документация и обязательные согласования;106667;100000;120000
60303;50;Деятельность фитнес-центров;Московская область;M;Разрешительная документация и обязательные согласования;283333;200000;350000
